Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/cab/31d2b3ab-128e-47b3-890b-70e7b22ed392/reject/,1,1,8.88858299003914,8.88858299003914,8.88858299003914,8.88858299003914,126.0,0.0033709517814487487,0.0033709517814487487,9,9,9,9,9,9,9,9,9,9,9
POST,/api/v1/cab/331af087-29aa-4feb-8600-fd1340529285/reject/,1,1,7.611124980030581,7.611124980030581,7.611124980030581,7.611124980030581,126.0,0.0033709517814487487,0.0033709517814487487,8,8,8,8,8,8,8,8,8,8,8
POST,/api/v1/cab/33b2d145-bfd0-47c1-b239-40390b05a68f/reject/,1,1,10.379167011706159,10.379167011706159,10.379167011706159,10.379167011706159,126.0,0.0033709517814487487,0.0033709517814487487,10,10,10,10,10,10,10,10,10,10,10
POST,/api/v1/cab/346141c6-07b6-456c-8a09-a1a790dabb61/reject/,1,0,6.877083011204377,6.877083011204377,6.877083011204377,6.877083011204377,32.0,0.0033709517814487487,0.0,7,7,7,7,7,7,7,7,7,7,7
POST,/api/v1/cab/3470d67a-adf7-4a47-96f1-66ce8983cff4/reject/,1,1,12.70887500140816,12.70887500140816,12.70887500140816,12.70887500140816,126.0,0.0033709517814487487,0.0033709517814487487,13,13,13,13,13,13,13,13,13,13,13
POST,/api/v1/cab/349bb9cf-1154-43c1-be76-da8fcfa0a7f2/reject/,1,1,3.2017090125009418,3.2017090125009418,3.2017090125009418,3.2017090125009418,126.0,0.0033709517814487487,0.0033709517814487487,3,3,3,3,3,3,3,3,3,3,3
POST,/api/v1/cab/359568bc-8e54-466e-86a8-1f3c2dab8110/reject/,1,1,9.406999975908548,9.406999975908548,9.406999975908548,9.406999975908548,126.0,0.0033709517814487487,0.0033709517814487487,9,9,9,9,9,9,9,9,9,9,9
POST,/api/v1/cab/35e1b431-0a4e-4ebf-9ce3-a6dce13d475e/reject/,1,1,6.281499983742833,6.281499983742833,6.281499983742833,6.281499983742833,126.0,0.0033709517814487487,0.0033709517814487487,6,6,6,6,6,6,6,6,6,6,6
POST,/api/v1/cab/393c99dd-c4e3-4a5e-90e1-0b55cbe05e88/reject/,1,1,7.357083988608792,7.357083988608792,7.357083988608792,7.357083988608792,126.0,0.0033709517814487487,0.0033709517814487487,7,7,7,7,7,7,7,7,7,7,7
POST,/api/v1/cab/3943e1de-1ec9-4399-b2d7-57575aec266f/reject/,1,0,8.358041988685727,8.358041988685727,8.358041988685727,8.358041988685727,32.0,0.0033709517814487487,0.0,8,8,8,8,8,8,8,8,8,8,8
POST,/api/v1/cab/3996d253-c016-4f0f-a864-53c6688f791d/reject/,1,0,5.819417012389749,5.819417012389749,5.819417012389749,5.819417012389749,32.0,0.0033709517814487487,0.0,6,6,6,6,6,6,6,6,6,6,6
POST,/api/v1/cab/39ccb670-aec1-4e15-8920-a54c94c7855e/reject/,1,1,3.701542009366676,3.701542009366676,3.701542009366676,3.701542009366676,126.0,0.0033709517814487487,0.0033709517814487487,4,4,4,4,4,4,4,4,4,4,4
POST,/api/v1/cab/3af541be-85c4-43f9-81d7-c559bb1a0634/reject/,1,1,4.726500017568469,4.726500017568469,4.726500017568469,4.726500017568469,126.0,0.0033709517814487487,0.0033709517814487487,5,5,5,5,5,5,5,5,5,5,5
POST,/api/v1/cab/3b1edb69-bc2b-492b-90fd-c91d72cbc0a4/reject/,1,1,40.75791698414832,40.75791698414832,40.75791698414832,40.75791698414832,126.0,0.0033709517814487487,0.0033709517814487487,41,41,41,41,41,41,41,41,41,41,41
POST,/api/v1/cab/3b9685a0-f7a6-498d-817f-de005c3698e4/reject/,1,1,5.449124990263954,5.449124990263954,5.449124990263954,5.449124990263954,126.0,0.0033709517814487487,0.0033709517814487487,5,5,5,5,5,5,5,5,5,5,5
POST,/api/v1/cab/3c6fe2f4-5f75-461b-a9a2-ac9f54ef6cb9/reject/,1,1,7.27529200958088,7.27529200958088,7.27529200958088,7.27529200958088,126.0,0.0033709517814487487,0.0033709517814487487,7,7,7,7,7,7,7,7,7,7,7
POST,/api/v1/cab/3cc39d75-9447-41ba-bf24-1f9da5173b87/reject/,1,1,2.902374981204048,2.902374981204048,2.902374981204048,2.902374981204048,126.0,0.0033709517814487487,0.0033709517814487487,3,3,3,3,3,3,3,3,3,3,3
POST,/api/v1/cab/3e33329c-ac4b-4656-8981-2e70c6167a3b/reject/,1,0,7.59137500426732,7.59137500426732,7.59137500426732,7.59137500426732,32.0,0.0033709517814487487,0.0,8,8,8,8,8,8,8,8,8,8,8
POST,/api/v1/cab/3e82c8e3-da93-446f-8d5c-3e1648cb352f/reject/,1,0,4.947041976265609,4.947041976265609,4.947041976265609,4.947041976265609,32.0,0.0033709517814487487,0.0,5,5,5,5,5,5,5,5,5,5,5
POST,/api/v1/cab/3e9fdfc2-ac93-48b8-8c67-bb61ce0817cd/reject/,1,0,2.874915982829407,2.874915982829407,2.874915982829407,2.874915982829407,32.0,0.0033709517814487487,0.0,3,3,3,3,3,3,3,3,3,3,3
POST,/api/v1/cab/3f57052f-328d-4ad4-a000-2a520d25d0b9/reject/,1,0,10.47445900621824,10.47445900621824,10.47445900621824,10.47445900621824,32.0,0.0033709517814487487,0.0,10,10,10,10,10,10,10,10,10,10,10
